AS0     -Reserved AS-
AS13868 PEAK - Peak Internet, LLC
AS13870 AAML-ASN - Aureus Asset Management, LLC
AS13871 TELEBYTE-NW - Telebyte NW
AS13872 TAMARACK - Tamarack Computers Ltd.
AS13873 KAPLAN - Kaplan Educational Centers
AS13874 Núcleo de Inf. e Coord. do Ponto BR - NIC.BR
AS13875 ARIN-ADV-FREIGHT - AFN, LLC
AS13876 FIBER-64 - FiberLight, LLC
AS13877 WENDYS-DUBLIN - Wendy's International, Inc.
AS13878 UOL DIVEO S.A.
AS13879 SITA-EQUANT-MPLSNET Equant Inc.
AS13880 ACI-AS - american century investments
AS13881 CIIS - California Institute of Integral Studies
AS13882 HLIC - Hartford Life Insurance Company
AS13883 BB-FAX-SERVER - Contractors Register, Inc.
AS13884 ASN-THEPLANET - ThePlanet.com Internet Services, Inc.
AS13885 DUNDEE - Dundee Internet Services, Inc
AS13886 CLOUD-SOUTH - Cloud South
AS13887 RTG-ASN1 - RoomsToGo.com, Inc.
AS13888 BEARCREEK-AS - Bear Creek Operations Inc
AS13889 INTEX-SOLUTIONS - Intex Solutions, Inc.
AS13890 AS-INAPCDN-LAX - Internap Network Services Corporation
AS13891 21ST-CENTURY-ONCOLOGY-INC - 21ST CENTURY ONCOLOGY, INC.
AS13892 BIPERFORMANCE-ASN - BI
AS13893 EHI-NA-AS-1 - Enterprise Holdings, Inc.
AS13894 SECUREWEBS - SECURE WEBS INC
AS13895 FIBERCONX-AS FiberConX Communications Ltd.
AS13896 THINKINGPHONES - Thinking Phone Networks, Inc.
AS13897 CDC1 - Internet Brands Inc.
AS13898 CMDINC01 - CollaborateMD, Inc.
AS13899 KRICKET - Kricket Internet Services LLC
AS13900 CBN - Christian Broadcasting Network, Inc.
AS13901 AFILIAS-MIA1-MON Afilias Canada, Corp.
AS13902 247REALMEDIA-NY - 24/7 Real Media, Inc.
AS13903 UNITEDLAYER-2 - Unitedlayer, Inc.
AS13904 COSLINK - Cherryland Services Inc
AS13905 TEMAJIQ-ASN-13905 - TietoEnator Majiq Inc.
AS13906 3N-GLOBAL - Everbridge, Inc
AS13907 NCR-CORPORATION NCR Corporation
AS13908 BLOOMBERG-700 - Bloomberg, LP
AS13909 TECHIEMEDIA - Techie Hosting, Inc.
AS13910 REGISTER - Register.com, Inc
AS13911 TERA-BYTE - Tera-byte Dot Com Inc.
AS13912 COMMTOUCH-INC - Commtouch Inc.
AS13913 AFFILIATED - Affiliated Central Inc.
AS13914 CAMARA DE DIRIGENTES LOJISTAS DE BELO HORIZONTE
AS13915 RIA-AS - Radiology Imaging Associates P.C.
AS13916 BLADE-LEX1 - BladeLogic, Inc.
AS13917 CORPWEST - Corporate West Computer Systems, Inc.
AS13918 CITYOFTUCSON - City of Tucson
AS13919 ALLDATA-NET01 - Alliance Data Systems, Inc.
AS13920 IMORTGAGE-AS - iMortgage.com, Inc.
AS13921 ANDREWS-INTERNATIONAL - Andrews International, Inc.
AS13922 BARLEY-SNYDER-LLC - Barley Snyder LLC
AS13923 SMCLOUD - IPCopper, Inc.
AS13924 AIS-AS - Allied Internet Services
AS13925 NAVIMEDIX-CARLSTADT - NaviMedix, Inc.
AS13926 RBLHST-NY - Reliablehosting.com
AS13927 KANOKLA-NETWORKS - KanOkla Communications, LLC
AS13928 ITRIG-ASN1 - IT Right, Inc
AS13929 Technisys S.A.
AS13930 CMH - The Children's Mercy Hospital
AS13931 AS-MH001 - MASONIC CHARITY FOUNDATION OF NEW JERSEY
AS13932 WHHS - Washington Hospital Healthcare Sysem
AS13933 ANCHOR-STL2 - Anchor Packaging, Inc.
AS13934 Diaz Piacenza S.A.
AS13935 JEVIN COMERCIO E SERVICOS LTDA
AS13936 Universal Soft SA
AS13937 UNISERVE-AS13937 - Uniserve On Line
AS13938 SSNC-AS - SS&C Technologies, Inc.
AS13939 SOSSTAFFING - SOS Staffing Services, Inc.
AS13940 SJCOE - San Joaquin County Office of Education
AS13941 VISP - Visp Technologies, Inc.
AS13942 AS-CSMV - Commission Scolaire Marie-Victorin
AS13943 YK-COMMUNICATIONS - YK Communications, Inc.
AS13944 BFS-DIVERSIFIED-PRODUCTS-LLC - BFS Diversified Products, LLC
AS13945 PRISMTECHNOLOGIESABQ - PRISM Technologies
AS13946 ETECHOHIO - eTech Ohio
AS13947 SITESTAR-13947 - Sitestar Internet Services
AS13948 LINAMAR-CORPORATION - Linamar Corporation
AS13949 SLIDE-INC - Slide, Inc.
AS13950 DLS-INTERNET-SERVICES - DLS Internet Services
AS13951 CENTER-SEVEN - C7 Data Centers, Inc.
AS13952 BD-08-99 - Bigdough.com.inc
AS13953 SVCC-EDU - Sauk Valley Community College
AS13954 STAPLES - Staples, Inc
AS13955 ECHO-UPLINKDATA-COM - Echostar Broadcasting Corporation
AS13957 MNAA - Metropolitan Nashville Airport Authority
AS13958 PZG-FL - THE RIDGEROCK GROUP, LLC
AS13959 AUTOPHONE-OF-LAREDO - Autophone of Laredo
AS13960 ALENT-ASN-2 - Alentus Corporation
AS13961 AAORTHO - The American Association of Orthodontists
AS13962 AS-HISPEED-1 - World Internet Services
AS13963 SKYVIEWSAT - Skyview Networks
AS13964 SBCIS-TPKAKS - AT&T Internet Services
AS13965 SBCIS-FYTVAR - AT&T Internet Services
AS13966 DFO-NFLD-AS - Department of Fisheries and Oceans
AS13967 BUYSEASONS - Buyseasons, Inc.
AS13968 CAISO-NET-BLK - CALIFORNIA ISO
AS13969 IUH-BLOOMINGTON - IU Health Bloomington Hospital
AS13970 NORTH-FORK-BANK-MATTITUCK - North Fork Bancorp Inc.
AS13971 FDS-AS-NY HedgeServ Corporation
AS13972 WADSWORTH-CENTER - Wadsworth Center, NYS Department of Health
AS13973 ASN-REACTION97 - Reaction Systems, Inc.
AS13974 SADDL-5 - Saddlebrook Resorts, Inc.
AS13975 FLAGSTONE-MANAGEMENT-SERVICES-HALIFAX - Flagstone Management Services (Halifax) Limited
AS13976 TOPOCEAN-LAX1 - Topocean Consolidation Service (Los Angeles), Inc.
AS13977 CTELCO - FAIRPOINT COMMUNICATIONS, INC.
AS13979 ATT-IPFR - AT&T Services, Inc.
AS13980 TT-ASN001 - Twotrees Technologies, LLC
AS13981 ITXM - Institute for Transfusion Medicine
AS13982 NIBWAN01 - National Industries for the Blind
AS13983 EPRIME - New Century Energy
AS13984 NETDIRECTIVE-TECHNOLOGIES - netDirective Technologies Inc.
AS13985 NASCO - NASCO
AS13986 ECSIS-HST - ECSIS.NET
AS13987 IVANET-LONDON - IBASIS INC.
AS13988 IVANET-FRANKFURT - IBASIS INC.
AS13989 SCEA-FC-AS1 - Sony Computer Entertainment America, Inc.
AS13990 COUNTYOFORANGE - County of Orange
AS13991 Curacao Information Network - A division ofSetel N
AS13992 NETALS - ALS Scan, Incorporated
AS13993 MOTIVE-COMM - MOTIVE,  INC.
AS13994 OMU-1 - Owensboro Municipal Utilities
AS13995 PDRINET1 - Personnel Decisions Research Institutes, Inc.
AS13996 ECHOSTAR - Dish Network Corporation
AS13997 RD-CHI-AS - Rapid Displays, Inc
AS13998 SWMED - UT Southwestern Medical Center at Dallas
AS13999 Mega Cable, S.A. de C.V.
AS14000 Axtel, S.A.B. de C.V.
AS14001 MICROADVANTAGE-INC - Vision Net Ltd
AS14002 RAILINC - RAILINC
AS14003 VHS-NATN - Vanguard Health Management, Inc.
AS14004 FORCE3 - Force3, Inc
AS14005 DATATECHHOSTING - Data-Tech
AS14006 RAFFERTYCAPITALMARKETS - RAFFERTY CAPITAL MARKETS
AS14007 SOHOSKYWAY1 - Skyway West
AS14008 KINCARDINE-AS - Kincardine Cable Tv Ltd.
AS14009 APPLESEEDS - Appleseed's
AS14010 JACKHENRY - Jack Henry & Associates, Inc.
AS14012 PENNYMAC-1 - Private National Mortgage Acceptance Company LLC
AS14013 EPSON-ROBOTS - EPSON America (Factory Automation/Robotics)
AS14014 CNRAIL-AS - Canadian National Railway
AS14016 PAYSYS - Pay Systems
AS14017 BNSF-AS - Burlington Northern Sante Fe Railway Corp
AS14018 EZLINK - EZLink Internet Access
AS14019 MORTICEKERNSYSTEMSINC - MKS, Inc.
AS14020 LONGWOOD-1 - Longwood Gardens Inc.
AS14021 PSECU - Pennsylvania State Employees Credit Union
AS14022 BBCOM - Backbone Communications, Inc.
AS14023 WILD - Minnesota Wild
AS14024 DDCI - Data Dallas
AS14025 EWANDBH - EXTREMEWEB LLC
AS14026 Núcleo de Inf. e Coord. do Ponto BR - NIC.BR
AS14027 GSC-SALEM - Gannett Supply Corp. - Salem, OR
AS14028 FULBRIGHT-JAWORSKI - Fulbright & Jaworski L.L.P.
AS14030 FINANCIADORA DE ESTUDOS E PROJETOS - FINEP
AS14031 SCXY - Supercomputing XY Committee
AS14032 IMATION - Imation Corporation
AS14033 RBSLYNK-AS1 - WorldPay US, Inc.
AS14034 SWIRE-COCA-COLA-USA-DRAPER-REDUNDANT-ACCESS - Swire Coca-Cola, USA
AS14036 AMERISERVE - Ameriserve
AS14037 AS-DZONEEU Dedicated Zone Ltd
AS14038 EXACTOR - Exactor Inc
AS14039 BTCONF-VIDEO - BT Conferencing
AS14040 XO-ASN1 - XO Communications
AS14041 AS14041 - University Corporation for Atmospheric Research
AS14042 TPSEA1 - thePlatform
AS14043 SCANSOURCE - ScanSource, Inc.
AS14044 ORBITSYS - Orbit Systems Inc.
AS14046 KCOL - KC Online, Inc.
AS14047 FERRIS-MFG-CORP - Ferris MFG Corp
AS14048 MEMPHIS-EDU - The University of Memphis
AS14049 GOLDEN-GATE-UNIV - Golden Gate University
AS14050 SYRACUSE-METRONET - Syracuse Metronet Inc.
AS14051 SUREWEST - Roseville Telephone Company
AS14052 STEPHENS - Stephens, Inc.
AS14053 ASN-LWCL - Long Wharf Real Estate Partners  LLC
AS14054 IRONWORK - Marvel Studios LLC
AS14055 DFG-LLC - Dougherty Financial Group LLC
AS14056 SEI - SEI Investments
AS14057 TFIC-1 - TENNESSEE FARMERS MUTUAL INSURANCE COMPANY
AS14058 PCT-AS01 - PointClick Technologies, LLC
AS14059 WEBLICATIONS - Weblications, LLC
AS14060 NNCGATEWAY - CWA ISP LLC
AS14061 DIGITALOCEAN-ASN - Digital Ocean, Inc.
AS14062 AKQA AKQA Limited
AS14063 NETNEARU-NETWORK - NetNearU Corp.
AS14064 NRECA - NRECA
AS14065 ADELPHIA-AS2 - Time Warner Cable Internet LLC
AS14066 TELMETRICS - Telmetrics Inc.
AS14067 FOUROVER-GLN-CA - 4 Over, Inc.
AS14068 PLAYBOY-BLK-1 - Playboy
AS14069 Thomson-CSF Systems Argentina S.A.
AS14070 SVH-TVH-AS1 - Valley Health System
AS14071 PQ-CORPORATION - PQ Corporation
AS14072 WASH-DC-CITY-GOVT - Government of the District of Columbia
AS14073 NEXTJUMPINC - Next Jump, Inc.
AS14074 COLGATE - Colgate-Palmolive Co.
AS14075 NPC-ASN - National Pen
AS14076 FCM360 - Secure Network USA, LLC
AS14077 ARSC - Arctic Region Supercomputing Center
AS14078 INFINITESOFT - Infinite Software, Inc.
AS14079 YANNIX-MASTER-FUND - Yannix Master Fund, Ltd.
AS14080 Telmex Colombia S.A.
AS14081 Q-INTERACTIVE - Q Interactive
AS14082 GLOBAL-ONLINE - Global Online Electronic Services
AS14083 501STUDIOS - Pegalo Properties Inc
AS14084 Multiphone
AS14085 LEARN - LEARN
AS14087 SULBBS Informática Ltda.
AS14088 WIU7 - Westmoreland Intermediate Unit
AS14089 CANNET - CanNet Internet Services, Inc.
AS14090 NDTELCO - NORTH DAKOTA TELEPHONE COMPANY
AS14091 DSM - DSM Technology Consultants
AS14092 NJACCESS - NJ INTERNET ACCESS
AS14093 GAINV - General American Investors Company, Inc.
AS14094 NO - Big Lots Stores, Inc.
AS14095 HCMH-3-AS - Hugh Chatham Memorial Hospital, Inc.
AS14096 FIRSTRATE-ARL-TEXAS-AS - First Rate, Inc.
AS14097 TELUSA-AS - Tokyo Electron America, Inc.
AS14098 SWGC - Memorial University of Newfoundland
AS14099 SPINFISH-AS1 - ROG, Inc.
AS14100 UCIX - Urbana-Champaign Internet Exchange
AS14101 EXPRESSION-EMERYVILLE - Ex'Pression College for Digital Arts
AS14102 GTVR - Transvision Reseau Inc.
AS14103 ACDNET-ASN1 - ACD.net
AS14104 OTS-AS-14104 - University of Texas System
AS14105 NO - Secure IP
AS14107 PCINW-PN001 - Preferred Connections, Inc. NW
AS14108 CASPIAN-ASN - CASPIAN Capital Management, LLC
AS14109 SIAL - Sigma Aldrich Corporation
AS14110 GENESYS-ASN - Genesys Telecommunications Laboratories,Inc.
AS14111 EL SALVADOR TELECOM S.A DE C.V.
AS14112 NET-SECURENET-MTL - SecureNet Information Services Inc.
AS14113 HOSTINGCOM - WCP/32POINTS INTERMEDIATE HOLDING COMPANY, INC.
AS14114 CAMILION-AS - Camilion Solutions
AS14115 AMALGAMATED-BSA
AS14116 INFB-AS - InternetNamesForBusiness.com
AS14117 Telefonica del Sur S.A.
AS14119 PNG-WYO - PENN NATIONAL GAMING
AS14120 ITHS-NY4-BLK-001 - IT Hosting Services, LLC.
AS14121 CIBC-WORLD-MARKETS - CIBC World Markets
AS14122 Vector Casa de Bolsa, SA de CV
AS14123 SFSNET - Sungard Futures Systems
AS14124 GEEKWERX-NETWORK - GeekWerx LLC
AS14125 THE-JAMES-B-OSWALD-COMPANY - Oswald Companies
AS14126 ASN-VOICESTAR - VoiceStar
AS14127 ILAND - Iland Internet Solutions Corporation
AS14128 NU-EDU - National University
AS14129 NMIA - New Mexico Internet Access
AS14131 DONET - DataYard
AS14133 USMETROPOLITANTELECOM-AS - U.S. Metropolitan Telecom, LLC
AS14134 NAVISITE-WEST-2 - Navisite, Inc.
AS14135 NAVISITE-EAST-2 - Navisite, Inc.
AS14136 PCCC - PC Connection, Inc.
AS14137 MIDMICH - MIDMICH.NET
AS14138 OCPS - Orange County Public Schools
AS14139 AS-MAXOR - Maxor Pharmacies
AS14140 AUBURN-ESSENTIAL-SERVICES - Auburn Essential Services
AS14141 WIRESIX - WireSix, Inc.
AS14142 BANKOFBOTETOURT - Bank of Botetourt, Inc.
AS14144 ASN-CI - Cambridge Interactive
AS14145 REGIONS-ASN-3 - REGIONS FINANCIAL CORPORATION
AS14146 LEVENGER - Levenger
AS14148 ENDINFOSYS - Endeavor Information Systems
AS14149 ICONFITNESS-MAIN - Icon Health & Fitness Inc
AS14150 PFCL2-ASN - Partnership Financial Consulting, LLC
AS14151 ASN-ICI-ORG - Investment Company Institute
AS14152 NETPULSE-1 - Netpulse Services
AS14153 EDGECAST-IR - EdgeCast Networks, Inc.
AS14154 FAIRPOINT-UNITE - FAIRPOINT COMMUNICATIONS, INC.
AS14155 RURAL-TELEPHONE-SVCCO - Rural Telephone Service Co, Inc.
AS14156 GRANDECOM-AS3 - Grande Communications Networks, LLC
AS14157 BIRTHDAYALARM-2 - Monkey Inferno, Inc
AS14158 FWCU - First West Credit Union
AS14159 LAKEFIELD-AS - Lakefield Communications
AS14160 PREMIUMTELECOM - Premium Hosting, Inc.
AS14161 LANDOLAKES - Land O'Lakes, Inc.
AS14162 FHLB-PITT - FEDERAL HOME LOAN BANK of PITTSBURGH
AS14163 SHEARMAN - Shearman & Sterling
AS14164 BGPCRX - Bluegrass Cellular Inc.
AS14165 FASTLINE-PUBLICATIONS - Fastline Publications, LLC
AS14166 SOFTCOMCA Softcom Inc
AS14167 MULTI-AD - Multi-Ad Services, Inc.
AS14168 IRID-POTOMACNET - IRIDES, LLC
AS14169 AIRTRAN-AIRWAYS - AIRTRAN AIRWAYS, INC
AS14170 DIGITALRIVER-DC20 - Digital River, Inc.
AS14171 THOMASPUBLISHING-HORSHAM-GW01 - Thomas Technology Solutions Inc.
AS14172 X2NSAT-API - X2nSat, Inc
AS14173 PHOTOBUCKET - PHOTOBUCKET.COM, INC.
AS14174 NCKCN - North Central Kansas Community Network Co.
AS14175 HAWORTH - HAWORTH
AS14176 LIFETIME-TV2 - LIFETIME ENTERTAINMENT
AS14177 PACKETXPRESS-NORTEL - Nortel Networks
AS14178 Megacable Comunicaciones de Mexico, S.A. de C.V.
AS14179 Interactive Gaming and Wagering N.V.
AS14180 INTERNETPRO-GAD - INTERNET SOLUTIONS OF AL LLC
AS14181 UBETWIRELESS - UBET Wireless
AS14182 EDATA - eData, Inc.
AS14183 UALR-ASN - University of Arkansas at Little Rock
AS14184 DATAGLYPHICS - DataGlyphics, Inc.
AS14187 COMSAT COLOMBIA
AS14188 ASHLANDFIBERNETWORK - Ashland Fiber Network
AS14189 WITT-KIEFFER - Witt-Kieffer
AS14191 HSL - Hard Soft Systems Ltd.
AS14192 CARTHA-ASN - Carthage College
AS14193 TELNEL - KONGE TECH CORP
AS14194 OMH-INET-BLCK - OCONEE MEMORIAL HOSPITAL
AS14195 CONTEGO-AS - Contego Solutions LLC
AS14196 YAHOO-S2E - Yahoo
AS14197 HMS-ASN - HEALTH MARKET SCIENCE
AS14199 QED - Scholastic Inc.
AS14200 MARSHALLUNIV - Marshall University
AS14201 TELETECH - TeleTech Holdings, Inc
AS14203 JUNIPER-NETWORKS - Juniper Networks, Inc.
AS14204 TKS Teleinformática S/C Ltda.
AS14205 WANC - WAN Communications, Inc.
AS14206 SVCL-ASN - SureView Capital LLC
AS14207 COREBYTE - CoreByte
AS14208 BUDCO-PSC - BUDCO
AS14209 UT-CHATTANOOGA - University of Tennessee at Chattanooga
AS14210 EDGECAST-DCA - EdgeCast Networks, Inc.
AS14211 GOTHAM-WEB-SERVICES - Gotham Web Services, Inc.
AS14212 SANTA-CRUZ-EDNET - Santa Cruz County Office of Education
AS14213 MONTEREY-BAY-K12 - Monterey County Office of Education
AS14214 MINACS - Minacs Inc
AS14215 SABRE-HOLDINGS-CORPORATION - SABRE HOLDINGS CORPORATION
AS14216 ISHIP - IShip.com
AS14217 DATAFRAMELO - Dataframe Logistics, Inc.
AS14218 TREMBLANT-ASN - Tremblant Capital Group
AS14219 SDI-MA - SouthData, Inc.
AS14220 AS14220 - Gozoe Wireless LLC
AS14221 WASHINGHTON-RD-AS - University of Washington
AS14222 NFCU-AS - Navy Federal Credit Union
AS14223 NYSDOH - New York State Department of Health
AS14224 AIRTAP - Airtap Communications, LLC
AS14225 IBGNAP-AS01 - Inertia Beverage Group Inc.
AS14226 STIFEL - Stifel Nicolaus and Company  Incorporated
AS14227 FORBIN-COM - The Forbin Project
AS14228 NEW-DULCINA-AGRIDATA - New Dulcina Agridata LLC
AS14229 WMS-CHICAGO - Williams Electronics Games
AS14230 INVOLTA - Involta
AS14231 Banco de Venezuela
AS14232 Cooperativa Telefónica Pinamar Ltda.
AS14233 ANCESTRY-INC - Ancestry.com., Inc.
AS14234 ZONAMERICA
AS14235 STATE-NM-US - State of New Mexico
AS14236 ADARA-NET - Adara Networks, Inc.
AS14237 BEAMSPEED1 - Beamspeed
AS14238 INNOVATIVE-NETWORKS - Innovative Networks LLC
AS14239 RSD-PA-15904 - Richland School District
AS14240 PMC-AS-1 - PMC-Sierra, INC.
AS14241 ONE-AS - Oakland Schools
AS14242 EARTHLINK-BUSINESS - LogicalSolutions.net
AS14243 CGS-ASP - CGS
AS14244 NSIHOSTING-EQX-VA - NSI Hosting
AS14245 SEGAOADC - Sega of America, Inc.
AS14246 THALESCOMMINC-AS - Thales Communications Inc.
AS14247 SBIS-WACOTX - AT&T Internet Services
AS14248 US-NORWOOD - Instron
AS14249 Internet Engine, S.A. de C.V.
AS14251 MLSLI - Multiple Lising Service of Long Island, Inc.
AS14252 SCHOOLSPECIALTY - School Specialty, Inc.
AS14253 AEREO-NYC - Aereo, Inc.
AS14255 AS-USD - University of San Diego
AS14256 OTAYWATER - Otay Water District
AS14257 EZ-NET - The Iserv Company, LLC
AS14258 ASTAC-ALASKA - Arctic Slope Telephone Association Cooperative, Inc.
AS14259 Gtd Internet S.A.
AS14260 USROYALINS - Royal&Sunalliance Insurance
AS14261 USNETWORK-ASN - US Network Services
AS14262 P-MAN - Portland - Metro Area Network (P-MAN)
AS14263 SD-NET - South Dakota State Government
AS14264 SAU-AS - Southern Adventist University
AS14265 US-TELEPACIFIC - Telepacific Communications
AS14266 IPAG - Imerys Pigments
AS14268 ASNCSL - Northern Computer Solutions Ltd.
AS14269 VA-DMV - Virginia DMV
AS14270 EAGLE-CA-1 - EAGLE.CA
AS14271 LAMC-NET - Louisville Academic Medical Center
AS14273 ONLINE-RESOURCES - Online Resources Corporation
AS14274 NETEASE - Mesa Partners, LLC
AS14275 WEATHERNET - Freese-Notis Global Internet
AS14276 SS-NOC-AS - Straitshot Communications, Inc.
AS14277 NOKIA-IP Nokia IP
AS14278 NORSTAN - Black Box Network Services
AS14279 HDS-ORL-ASN1 - HD Supply, Inc.
AS14280 NETNATION-NETWORK NetNation Communications Inc.
AS14281 NATIONWIDELABS - Nationwide Laboratory Services Inc.
AS14282 PERSIS TELECOM
AS14283 BLUEONE - blueone.net
AS14284 ROCKHURST - ROCKHURST UNIVERSITY
AS14285 Banco Mercantil
AS14286 Tecnet SA
AS14287 TRIAD-TELECOM - Triad Telecom, Inc.
AS14288 MPINET - MPInet
AS14289 CBTKS-AS - COMMERCE BANK AND TRUST
AS14290 ASD-ANSWERING-SERVICE-FOR-DIRECTORS - Answering Service for Directors
AS14291 ANTIETAM - Antietam Cable Television, Inc
AS14292 CSC-VISA - CSC Consular Services Inc.
AS14293 WPGINVEST - Robeco Investment Management, Inc.
AS14294 AS14294 - Fuzebox Software Corporation
AS14295 LJKCO - LJK Companies, Inc
AS14296 3GTY - 3GTY, Inc.
AS14297 ACI-WORLDWIDE - ACI Worldwide, Inc.
AS14298 EPA-NET - Environmental Protection Agency
AS14299 ADP1 - Automatic Data Processing, Inc.
AS14300 TOYSRUS - Toys "R" Us
AS14301 EVEREST-INTERNET - Everest Global Services
AS14302 INFINIGON - Infinigon, Inc.
AS14303 MEMASN1 - City of Memphis
AS14304 INTERTRADE-SYSTEMS - Intertrade Systems Inc.
AS14305 AS14305 - Accuray Incorporated
AS14306 GLAXOSMITHKLINE - GlaxoSmithKline
AS14307 ASN-ROCNET - ROCK SERVICES, INC.
AS14308 COL-ETS - City of Longmont
AS14309 G2ANET - Go2America LLC
AS14310 SNB-ASN - Safra National Bank of New York
AS14311 XO-ASN2 - XO Communications
AS14312 1-800CONTACTS - 1-800 Contacts, Inc.
AS14313 CMCMGMT01 - CLEARVIEW MANAGEMENT CONSULTANTS
AS14314 NET4UTB1 - The University of Texas at Brownsville
AS14315 CAFEPRESS - CafePress.com
AS14316 Twinneyville Corporation N.V.
AS14317 ACCNETWORKS - Advanced Computer Connections, Inc.
AS14318 PSINet Chile
AS14319 FURMAN-2 - Furman University
AS14320 MEREDITHCORP - Meredith Corp.
AS14321 SERVICIO-UNITELLER - Servicio Uniteller, Inc.
AS14322 NYAM-2 - NEW YORK ACADEMY OF MEDICINE
AS14323 SVR-CRX - Syniverse Technologies, LLC
AS14324 SOUND-SHORE-MANAGEMENT-INC - Sound Shore Management, Inc.
AS14325 OSHEAN - OSHEAN, Inc.
AS14326 PACKETFABRIC - PacketFabric, Inc.
AS14327 PGE-ONLINE - Portland General Electric Company
AS14328 RRD - R.R. Donnelley and Sons, Co.
AS14329 OPEN-ACCESS-TECH - OPEN ACCESS TECHNOLOGY INTERNATIONAL, INC.
AS14330 DIGITAL-INSIGHT - Digital Insight Corporation
AS14331 TCM-NETWORKS-0098
AS14332 SHOPZILLA - Shopzilla, Inc.
AS14333 ON-RAMP-INDIANA - On-Ramp Indiana, Inc.
AS14334 PRIMARYAS - Renaissance Learning Inc.
AS14335 VC3 - VC3, Inc.
AS14336 MAMLP - Mercator Asset Management, L.P., LTD.
AS14337 CVMIN-AS1 - CVM, INC
AS14338 KORE-WIRELESS - KORE Wireless
AS14339 SADESA S.A.
AS14340 SALESFORCE - Salesforce.com, Inc.
AS14341 MARVEL - MARVEL ENTERPRISES INC
AS14342 ITCM-UCIN - Integra Telecom, Inc.
AS14343 I2-TECHNOLOGIES - i2 Technologies Inc.
AS14344 ADVANCEDLEGAL - Advanced Legal Systems, Inc.
AS14345 FINALASP - Final ASP, LLC
AS14346 Agencia Estado Ltda
AS14347 SCCI-1000 - Spectrum Communications & Consulting, Inc.
AS14348 URI-AS - University of Rhode Island
AS14349 KCPLASN-1 - Kansas City Power & Light
AS14350 STROZFRIEDBERG - STROZ FRIEDBERG LLC
AS14351 SOUTHWESTERN-EDU - Southwestern University
AS14352 SSUITES-AS1 - ERP Suites
AS14354 NET9 - Region 9 Education Service Center
AS14355 IWI-TG-FW - Interstate Warehousing, Inc.
AS14356 INFOR-AS14356 - INFOR GLOBAL SOLUTIONS (MICHIGAN), INC.
AS14357 KCIT-I-NET - King County IT/I-NET
AS14358 MACKENZIEFINANCIAL-AS - Mackenzie Financial Corp
AS14359 ITS-USNET - Ideal Technology Solutions US Inc.
AS14361 HOPONE-GLOBAL - HopOne Internet Corporation
AS14362 CCIS - California City Internet Inc.
AS14363 OUTFITTERS - Infobahn Outfitters, Inc.
AS14364 AMEC-AS - AMEC
AS14365 ADOBE-NET - Adobe Systems Inc.
AS14366 MTNCABLE - Mountain Cablevision LTD.
AS14367 TDS-TELECOM-AS - TDS TELECOM
AS14368 BRAZOS-INTERNET - Brazos Internet
AS14369 NMAX - Nmax
AS14370 CYPRESSCOMM-AS14370 - Cypress Communications, Inc.
AS14371 PBNET - Paul Bunyan Communications
AS14372 ANTENNA-SOFTWARE - Antenna Software
AS14373 UTMB - University of Texas Medical Branch
AS14374 AGRI-VALLEY - Agri-Valley Services Inc.
AS14375 SUNGENGY-NET - SunGard Energy and Commodities
AS14376 SSF-12-6-198-0 - Sungard Securities Finance, Inc.
AS14377 PSINet Panama
AS14378 COMPINFOSYS - Compliance Information Systems, Inc.
AS14379 N-T-C - Northern Trust Company
AS14380 OPUS-INTERACTIVE - Opus Interactive
AS14381 CATERPILLAR-INC - Caterpillar, Inc.
AS14382 ESC13 - Education Service Center
AS14383 VCS-AS - Virtacore Systems Inc
AS14384 HOSTDESIGNS - HOST DESIGNS, LLC
AS14385 ORAMETRIX-RICHARDSON - OraMetrix, Inc.
AS14386 COMGRAPHICS-CGICHICAGO - Com-graphics, Inc.
AS14387 WHIP - SwitchWorks Technologies Inc.
AS14388 BRONCO-WINE - Bronco Wine Co.
AS14389 SOLUTIONSITC-COOKEVILLE - Solutions IT Consulting, LLC
AS14390 CORENET - Coretel America, Inc.
AS14391 WNSC-NET-12-40-212-0-1 - Automatic Data Processing, Inc.
AS14392 COFPDC - Capital One Financial Corporation
AS14393 CLICKABILITY - Clickability, Inc.
AS14394 KBCFP-NYC - KBC BANK N.V.
AS14395 FHLBATL - Federal Home Loan Bank Of Atlanta
AS14396 IVANET-BURLINGTON - IBASIS INC.
AS14397 CH - Cedar Hill Capital Partners, LLC
AS14398 AUTODESK - Autodesk, Inc.
AS14399 HUBRIS2 - Hubris Communications
AS14400 VIEGA-NA - Viega LLC
AS14401 MEASURECOMP - MeasureComp,LLC
AS14402 KANSASNET-AS2 - Fox Computers, Inc. d/b/a KansasNet
AS14403 TUCKER-USA - Tucker Communications, Inc
AS14404 DIRECT-ALLIANCE - Direct Alliance Corporation
AS14405 XO-ASN4 - XO Communications
AS14406 XO-ASN3 - XO Communications
AS14407 XO-ASN5 - XO Communications
AS14408 AS-EMPIRECLS-SECAUCUS - Empire International, Ltd.
AS14409 MCSI - Myers Computer Service, Inc.
AS14410 HYETECH - Hye Tech Network & Security Solutions, LLC
AS14411 1CHFINTL1 - CHF International
AS14412 IHOUSEASN1 - iHOUSEWEB Inc.
AS14413 LINKEDIN - LinkedIn Corporation
AS14414 CROSSBRDG-ASN01 - CrossBridge Solutions Inc.
AS14415 HOSTCOLLECTIVE - Host Collective, Inc.
